ProductID,Description,ImageUrl,Model,Price,Model,Display Size,Display Technology,Pixel Density,Battery Capacity,Camera Resolution,CPU Manufacturing,Operating System,RAM,Internal Storage,Refresh Rate,5G,Suya dayanıklılık,Toza dayanıklılık,Price
960862,Model: Apple iPhone 16 Pro Max; Ekran Boyutu: 6.9 İnç; Ekran Teknolojisi: OLED; Piksel Yoğunluğu: 460 PPI; Batarya Kapasitesi: 4685 mAh; Kamera Çözünürlüğü: 48 MP; CPU Üretim Teknolojisi: 3 nm; İşletim Sistemi: iOS; RAM Kapasitesi: 8 GB; Dahili Hafıza: 1 TB; Ekran Yenileme Hızı: 120 Hz; 5G: Var; Suya dayanıklılık: IPX8; Toza dayanıklılık: IP6X; Price: 119999.0 TL,https://resim.epey.com/960862/b_apple-iphone-16-pro-max-1tb-2.png,Apple iPhone 16 Pro Max,119999.0,Apple iPhone 16 Pro Max,6.9 İnç,OLED,460 PPI,4685 mAh,48 MP,3 nm,iOS,8 GB,1 TB,120 Hz,Var,IPX8,IP6X,119999.0 TL
960861,Model: Apple iPhone 16 Pro Max; Ekran Boyutu: 6.9 İnç; Ekran Teknolojisi: OLED; Piksel Yoğunluğu: 460 PPI; Batarya Kapasitesi: 4685 mAh; Kamera Çözünürlüğü: 48 MP; CPU Üretim Teknolojisi: 3 nm; İşletim Sistemi: iOS; RAM Kapasitesi: 8 GB; Dahili Hafıza: 512 GB; Ekran Yenileme Hızı: 120 Hz; 5G: Var; Suya dayanıklılık: IPX8; Toza dayanıklılık: IP6X; Price: 96999.03 TL,https://resim.epey.com/960861/b_apple-iphone-16-pro-max-512gb-2.png,Apple iPhone 16 Pro Max,96999.03,Apple iPhone 16 Pro Max,6.9 İnç,OLED,460 PPI,4685 mAh,48 MP,3 nm,iOS,8 GB,512 GB,120 Hz,Var,IPX8,IP6X,96999.03 TL
960860,Model: Apple iPhone 16 Pro; Ekran Boyutu: 6.3 İnç; Ekran Teknolojisi: OLED; Piksel Yoğunluğu: 460 PPI; Batarya Kapasitesi: 3582 mAh; Kamera Çözünürlüğü: 48 MP; CPU Üretim Teknolojisi: 3 nm; İşletim Sistemi: iOS; RAM Kapasitesi: 8 GB; Dahili Hafıza: 1 TB; Ekran Yenileme Hızı: 120 Hz; 5G: Var; Suya dayanıklılık: IPX8; Toza dayanıklılık: IP6X; Price: 95999.0 TL,https://resim.epey.com/960860/b_apple-iphone-16-pro-1tb-2.png,Apple iPhone 16 Pro,95999.0,Apple iPhone 16 Pro,6.3 İnç,OLED,460 PPI,3582 mAh,48 MP,3 nm,iOS,8 GB,1 TB,120 Hz,Var,IPX8,IP6X,95999.0 TL
952387,Model: Apple iPhone 16 Pro Max; Ekran Boyutu: 6.9 İnç; Ekran Teknolojisi: OLED; Piksel Yoğunluğu: 460 PPI; Batarya Kapasitesi: 4685 mAh; Kamera Çözünürlüğü: 48 MP; CPU Üretim Teknolojisi: 3 nm; İşletim Sistemi: iOS; RAM Kapasitesi: 8 GB; Dahili Hafıza: 256 GB; Ekran Yenileme Hızı: 120 Hz; 5G: Var; Suya dayanıklılık: IPX8; Toza dayanıklılık: IP6X; Price: 86999.0 TL,https://resim.epey.com/952387/b_apple-iphone-16-pro-max-2.png,Apple iPhone 16 Pro Max,86999.0,Apple iPhone 16 Pro Max,6.9 İnç,OLED,460 PPI,4685 mAh,48 MP,3 nm,iOS,8 GB,256 GB,120 Hz,Var,IPX8,IP6X,86999.0 TL
960859,Model: Apple iPhone 16 Pro; Ekran Boyutu: 6.3 İnç; Ekran Teknolojisi: OLED; Piksel Yoğunluğu: 460 PPI; Batarya Kapasitesi: 3582 mAh; Kamera Çözünürlüğü: 48 MP; CPU Üretim Teknolojisi: 3 nm; İşletim Sistemi: iOS; RAM Kapasitesi: 8 GB; Dahili Hafıza: 512 GB; Ekran Yenileme Hızı: 120 Hz; 5G: Var; Suya dayanıklılık: IPX8; Toza dayanıklılık: IP6X; Price: 89999.0 TL,https://resim.epey.com/960859/b_apple-iphone-16-pro-512gb-2.png,Apple iPhone 16 Pro,89999.0,Apple iPhone 16 Pro,6.3 İnç,OLED,460 PPI,3582 mAh,48 MP,3 nm,iOS,8 GB,512 GB,120 Hz,Var,IPX8,IP6X,89999.0 TL
895854,Model: Apple iPhone 15 Pro Max; Ekran Boyutu: 6.7 İnç; Ekran Teknolojisi: OLED; Piksel Yoğunluğu: 460 PPI; Batarya Kapasitesi: 4441 mAh; Kamera Çözünürlüğü: 48 MP; CPU Üretim Teknolojisi: 3 nm; İşletim Sistemi: iOS; RAM Kapasitesi: 8 GB; Dahili Hafıza: 1 TB; Ekran Yenileme Hızı: 120 Hz; 5G: Var; Suya dayanıklılık: IPX8; Toza dayanıklılık: IP6X; Price: 102999.0 TL,https://resim.epey.com/895854/b_apple-iphone-15-pro-max-1tb-3.png,Apple iPhone 15 Pro Max,102999.0,Apple iPhone 15 Pro Max,6.7 İnç,OLED,460 PPI,4441 mAh,48 MP,3 nm,iOS,8 GB,1 TB,120 Hz,Var,IPX8,IP6X,102999.0 TL
960858,Model: Apple iPhone 16 Pro; Ekran Boyutu: 6.3 İnç; Ekran Teknolojisi: OLED; Piksel Yoğunluğu: 460 PPI; Batarya Kapasitesi: 3582 mAh; Kamera Çözünürlüğü: 48 MP; CPU Üretim Teknolojisi: 3 nm; İşletim Sistemi: iOS; RAM Kapasitesi: 8 GB; Dahili Hafıza: 256 GB; Ekran Yenileme Hızı: 120 Hz; 5G: Var; Suya dayanıklılık: IPX8; Toza dayanıklılık: IP6X; Price: 77999.0 TL,https://resim.epey.com/960858/b_apple-iphone-16-pro-256gb-2.png,Apple iPhone 16 Pro,77999.0,Apple iPhone 16 Pro,6.3 İnç,OLED,460 PPI,3582 mAh,48 MP,3 nm,iOS,8 GB,256 GB,120 Hz,Var,IPX8,IP6X,77999.0 TL
895853,Model: Apple iPhone 15 Pro Max; Ekran Boyutu: 6.7 İnç; Ekran Teknolojisi: OLED; Piksel Yoğunluğu: 460 PPI; Batarya Kapasitesi: 4441 mAh; Kamera Çözünürlüğü: 48 MP; CPU Üretim Teknolojisi: 3 nm; İşletim Sistemi: iOS; RAM Kapasitesi: 8 GB; Dahili Hafıza: 512 GB; Ekran Yenileme Hızı: 120 Hz; 5G: Var; Suya dayanıklılık: IPX8; Toza dayanıklılık: IP6X; Price: 97919.04 TL,https://resim.epey.com/895853/b_apple-iphone-15-pro-max-512gb-3.png,Apple iPhone 15 Pro Max,97919.04,Apple iPhone 15 Pro Max,6.7 İnç,OLED,460 PPI,4441 mAh,48 MP,3 nm,iOS,8 GB,512 GB,120 Hz,Var,IPX8,IP6X,97919.04 TL
952452,Model: Apple iPhone 16 Pro; Ekran Boyutu: 6.3 İnç; Ekran Teknolojisi: OLED; Piksel Yoğunluğu: 460 PPI; Batarya Kapasitesi: 3582 mAh; Kamera Çözünürlüğü: 48 MP; CPU Üretim Teknolojisi: 3 nm; İşletim Sistemi: iOS; RAM Kapasitesi: 8 GB; Dahili Hafıza: 128 GB; Ekran Yenileme Hızı: 120 Hz; 5G: Var; Suya dayanıklılık: IPX8; Toza dayanıklılık: IP6X; Price: 73999.0 TL,https://resim.epey.com/952452/b_apple-iphone-16-pro-2.png,Apple iPhone 16 Pro,73999.0,Apple iPhone 16 Pro,6.3 İnç,OLED,460 PPI,3582 mAh,48 MP,3 nm,iOS,8 GB,128 GB,120 Hz,Var,IPX8,IP6X,73999.0 TL
895857,Model: Apple iPhone 15 Pro; Ekran Boyutu: 6.1 İnç; Ekran Teknolojisi: OLED; Piksel Yoğunluğu: 460 PPI; Batarya Kapasitesi: 3274 mAh; Kamera Çözünürlüğü: 48 MP; CPU Üretim Teknolojisi: 3 nm; İşletim Sistemi: iOS; RAM Kapasitesi: 8 GB; Dahili Hafıza: 1 TB; Ekran Yenileme Hızı: 120 Hz; 5G: Var; Suya dayanıklılık: IPX8; Toza dayanıklılık: IP6X; Price: 99999.0 TL,https://resim.epey.com/895857/b_apple-iphone-15-pro-1tb-3.png,Apple iPhone 15 Pro,99999.0,Apple iPhone 15 Pro,6.1 İnç,OLED,460 PPI,3274 mAh,48 MP,3 nm,iOS,8 GB,1 TB,120 Hz,Var,IPX8,IP6X,99999.0 TL
894486,Model: Apple iPhone 15 Pro Max; Ekran Boyutu: 6.7 İnç; Ekran Teknolojisi: OLED; Piksel Yoğunluğu: 460 PPI; Batarya Kapasitesi: 4441 mAh; Kamera Çözünürlüğü: 48 MP; CPU Üretim Teknolojisi: 3 nm; İşletim Sistemi: iOS; RAM Kapasitesi: 8 GB; Dahili Hafıza: 256 GB; Ekran Yenileme Hızı: 120 Hz; 5G: Var; Suya dayanıklılık: IPX8; Toza dayanıklılık: IP6X; Price: 85996.32 TL,https://resim.epey.com/894486/b_apple-iphone-15-pro-max-3.png,Apple iPhone 15 Pro Max,85996.32,Apple iPhone 15 Pro Max,6.7 İnç,OLED,460 PPI,4441 mAh,48 MP,3 nm,iOS,8 GB,256 GB,120 Hz,Var,IPX8,IP6X,85996.32 TL
